"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Denmark","DNK","Money (current LCU)","FM.LBL.MONY.CN","10033000000","11144000000","12207000000","13863000000","15231000000","16970000000","19339000000","21117000000","24056000000","27128000000","27467000000","29611000000","33640000000","37589000000","39364000000","49864000000","52339000000","56076000000","65058000000","71880000000","77506999999.9844","88030999999.7449","91664999999.739","113303999999.969","128078000000","156492000000","167967000000","188449000000","225112000000","226112000000","244477000000","258274000000","256000000000","283001300000","279048450000","291984000000","325519900000","344054261000","360736378000","381767015000","385987000000","414849000000","430818000000","469149000000","536596000000","643615000000","699459000000","755151000000","753262000000","793207000000","800625000000","779837000000","851551000000","878068000000","",
"Dominican Republic","DOM","Money (current LCU)","FM.LBL.MONY.CN","101900000","104400000","114000000","130200000","116600000","135000000","116100000","129270000","154700000","162100000","188310000","210960000","247960000","299150000","414190000","444010000","437640000","518870000","545420000","694580000","738100000","781170000","866250000","985220000","1411040000","1682810000","2610690000","3215550000","4966910000","6265840000","9195690000","11297220000","13231190000","15065160000","16197950000","18996090000","23224910000","27703140000","29415800000","35839520000","35444940000","33705061108","36782167459","67013647972.9802","70680845658.086","85006035120.7431","110558873508.14","139731207912.86","128670124628.667","152640191413.061","166994324845.407","175405756587.784","192755615322.495","222959943724.478","",
"Algeria","DZA","Money (current LCU)","FM.LBL.MONY.CN","","","","","4176000000","4621000000","4967000000","6516000000","8692000000","9795000000","10518000000","11801000000","15480000000","17499000000","21021000000","27853000000","37800000000","44423000000","56208000000","64885000000","75843000000","88134000000","111150000000","136895000000","162742000000","181265000000","185295000000","200666000000","225282000000","221763000000","240807000000","290312000000","333208000000","403661000000","429254000000","461722000000","525803000000","596846000000","728879000000","792972000000","947860000000","1081076933627.64","1240453059778.3","1414070705988.59","1850696697277.6","2032303094953.11","2724957629159.82","3689108974018.13","4335406827528.56","4489786803279.25","5020999469950.38","6162672158063.12","6471510134746.52","6844833832502.45","",
"East Asia & Pacific (developing only)","EAP","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (all income levels)","ECS","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Money (current LCU)","FM.LBL.MONY.CN","118999999.993333","101722222.222222","114444444.437778","124500000","150161111.11","151866666.667778","174302222.222222","197831111.111111","239636666.666667","272968888.888889","247210000.004854","279406000.005145","351760000.006792","474012000.009274","720164000.013878","776568000.013513","936794000.013146","1218786000.01899","1298718000.01889","1571748000.02482","1991256000.0293","2279448000.03425","1959982971.36349","1577236081.34108","1785454052.85591","1595938511.74935","1241797781.56997","1081720564.33409","846335782.987676","806820517.565776","962865117.285357","968217488.233719","986654969.499797","1438169048.42987","1711208536.80035","1379337968.18882","1445081580.74278","1551760885.27552","1546667056.98839","1255860000","1245160000","1808723839","1794838943.7387","1985285083","2548330000","3040900000","3631340000","4394800000","5907060000","6026785008","7398685860","8014614666","9708398220","10902363986","",
"Egypt, Arab Rep.","EGY","Money (current LCU)","FM.LBL.MONY.CN","404800000","455300000","442600000","515700000","620900000","654500000","683900000","707200000","721700000","746000000","782800000","846200000","989300000","1204800000","1502800000","1862600000","2238900000","2943000000","3552800000","4354200000","6774700000","7645800000","9551700000","10932700000","12443300000","14695800000","15973000000","18241100000","20579000000","22471000000","26205100000","28337200000","30831900000","34571300000","38274800000","41539800000","44521200000","48707900000","58577100000","59065500000","62194900000","67077500000","75781300000","93520100000","102542953315","120467765585","142601275441","178676056900","200348783800","226096707300","257527286553.46","296430609152.552","338922857632.457","430918572212.13","",
"Euro area","EMU","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1134568000","1473973000","2006708494.32972","2367134496.13957","3465188456.04","3930298718.64","5731829339.012","6877034073.666","8062692813.37","9105822915.91","10282156226.07","10863023930.27","12710122294.97","15319542037.79","17291172870.53","19708880750.96","22356828415.06","","","",
"Spain","ESP","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192102000000","204649000000","216493000000","226007000000","248221000000","276692000000","500031000000","567546000000","568313000000","553417000000","614886000000","605710000000","601368000000","599398000000","629979000000","",
"Estonia","EST","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30939629.0567919","115929339.281377","181991359.145118","207624020.553986","281183771.554203","448737856.318945","601379938.020401","548438378.978181","742920687.451587","938402730.225097","1150173021.21931","1296105772.19907","1512586681.77943","2207955722.00989","3123681822.24892","3983676964.96363","4242519141.53874","3696585839.73515","3611711170.47793","4645673820.51053","7145000000","8219000000","9242000000","",
"Ethiopia","ETH","Money (current LCU)","FM.LBL.MONY.CN","217900000","228000000","248400000","259800000","316240000","364750000","377660000","371500000","399600000","454790000","453220000","436680000","490720000","618520000","753890000","942100000","952980000","1178660000","1378210000","1571900000","1568260000","1719890000","1892300000","2161010000","2324660000","2739450000","3313730000","3385180000","3737570000","4370540000","5337880000","6267544000","7243580000","7564050000","9183980000","9429460000","9174022000","11023974000","10511011000","12067010425.29","13225674934.28","13865189750.29","16557897177.2","18595091361.12","22311990589.52","25980739702.71","32056176846.37","38903504617.97","49105776702.59","","","","","","",
"European Union","EUU","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41627000000","40369000000","41553000000","47065000000","51597000000","54684000000","58954000000","62180000000","65009000000","67885000000","79256000000","84350000000","89268000000","96585000000","105976000000","",
"Fiji","FJI","Money (current LCU)","FM.LBL.MONY.CN","","17768000","17388000","22167000","24910000","22647000","23911000","24241000","26072000","31600000","37126000","42428000","51848000","56122000","68001000","82788000","84539000","83016000","96822000","110848000","98790000","116738000","121047000","131853000","133293000","134811000","168001000","165235000","268240000","253506000","256423000","266399000","307794000","352917000","331640000","374777000","444879000","434780000","480871000","672026000","580000000","618527195.81","683140137.78","868732209.06","989309191.75","1205095232.65","1149939587.25","1621431706.93","1357297057.95195","1262118732.06149","1410976403.49049","2000108589.02896","2097781625.33393","3509563552.25358","",
"France","FRA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293903000000","314932000000","335692000000","365881000000","429791000000","455300000000","506205000000","541668000000","577101000000","582154000000","618456000000","662590000000","701880000000","716878000000","751088000000","",
"Faeroe Islands","FRO","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19863000","19528000","21514000","21284000","19891000","18802000","21245000","19697000","22476000","23578000","25007000","20225000","22449000","21205000","29021000","26988000","27224000","37384000","33743000","",
"Gabon","GAB","Money (current LCU)","FM.LBL.MONY.CN","5310000000","6170000000","7190000000","7750000000","8400000000","8630000000","8390000000","8570000000","9738000000","11683000000","12807000000","14880000000","18788000000","23262000000","38443000000","59478000000","104974000000","99530000000","90700000000","85895000000","94878999999.623","115577999999.875","127022999999.875","144433000000","169399000000","178163000000","154114000000","135257000000","146838000000","154771000000","164490000000","178008000000","142350000000","137440000000","195006000000","219087000000","275998000000","298246000000","283119000000","268614000000","320455000000","322901000000","330576000000","327906000000","356566000000","520016000000","589619000000","662139000000","759260000000","764766000000","933103000000","1236573000000","1221798000000","1432131000000","",
"United Kingdom","GBR","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159714022","217262240","282036358","255266990","279379598","372913788","591527585.93","615478887","733358859","1108100009.25","1330307743.2","1855852051.95","2606275009.12","2640625978.8995","2786899919.0021","3694808544.0659","4068572475.9089","4261815303.0691","5578458752.88752","",
"Ghana","GHA","Money (current LCU)","FM.LBL.MONY.CN","13410","14590","16310","17280","1323970","2923750","24810","24099","25853","28957","30593","32105","46256","56375","69736","100864","142600","239444","412786","467977","608695","941504","1120474","1671919","2684920","3830780","5515590","8417000","12203000","18639000","20644000","23574600","36068630","46134710","69354620","92533370","121856400","177925257","215122658.830731","249024336.396943","344153830.599013","921915824.35682","1306925396.82599","1511916732.31809","1924470696.70114","2160806327.14425","2962300000","3968460207.54445","5531045408.83506","6383011607.00823","8639035834.97381","12057234656.7934","15815569760.6288","18660968095.3605","",
"Guinea","GIN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182469000000","218445000000","260854000000","252582000000","274125000000","273465000000","331666000000","361468884000","","499885000000","559993000000","681228000000","893055000000","1143312000000","1394203000000","2626505655472","2409293309240","3105310702871","4398032492346","8814784169492","9783878159309","","","",
"Gambia, The","GMB","Money (current LCU)","FM.LBL.MONY.CN","","","","","10200000","10840000","12760000","12700000","13660000","14080000","16460000","16380000","22750000","31840000","33040000","37350000","49430000","39800000","57780000","57780000","61280000","76970000","87220000","100320000","99580000","162100000","166490000","197830000","213520000","260250000","296190000","393580000","435170000","461380000","407530000","471470000","453490000","629410000","626570000","716040000","983530000","1125410000","1756771826.24","2865093238.49","3309040027.6","3282032903.88","4127107575.43","4203374748.39","5080531664.17","5156287249.73","5980607892.83","6627499927.77","7343056347.16","9383647943.36","",
"Guinea-Bissau","GNB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","133076923.076923","265000000","489000000","638000000","5290546153.84615","1332000000","2439538461.53847","3104923076.92308","4909538461.53846","7210615384.61539","10891230769.2308","36625100000","32193600000","39419600000","64501600000","69535300000","85073900000","29921700000","42963900000","50878800000","53259600000","63508700000","80687900000","87482500000","104870800000","156519100000","131731100000","156936100000","",
"Equatorial Guinea","GNQ","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","8047000000","9919000000","9004000000","5224000000","7250000000","3120000000","2635000000","3544000000","2550000000","6005000000","9509000000","14276000000","13658000000","14985000000","28445000000","38332000000","45006000000","69278000000","111264000000","165500000000","232032000000","254617750000","360514750000","509698000000","668395000000","891786000000","960842000000","1480100000000","1595150000000","",
"Greece","GRC","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79314000000","80724000000","89919000000","104249000000","113324000000","115794000000","115508000000","109074000000","124056000000","112815000000","97702000000","88708000000","93440000000","",
"Grenada","GRD","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","10807000","11868000","14310000","15621000","15785000","18370000","25477000","28514000","36829000","45650000","48446000","53324000","49386000","41494000","50708000","54120000","69336000","74307000","87505000","94431000","96596000","95838000","114322000","130599000","145681000","154377223","157959164","163595394","186512020","204922740","214994274","302122405","352994438","396015764","531968084","467024327","437593093","540418346","508793228","479626854","473737686.995019","460472009.00392","446171846.873352","492420191.967311","",
"Greenland","GRL","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Money (current LCU)","FM.LBL.MONY.CN","103200000","103800000","108000000","119300000","127400000","134100000","140800000","146000000","151000000","161300000","173100000","178600000","211600000","260500000","299700000","348800000","483700000","573400000","624100000","693100000","717500000","738800000","750900000","790800000","850500000","1324900000","1566800000","1753000000","2000300000","2417100000","3238600000","3842100000","4188000000","5025200000","7050700000","7746800000","8795100000","11914500000","13647300000","15368500000","18571100000","22046483406.49","23914944391.2045","32134423905.8372","35667326596.6829","40169799891.6588","46878631142.9441","53594890706.0443","56432852604.6782","60666372770.9203","67840749263.9389","72648702459.5086","77882219406.5894","82670893856.7983","",
"Guam","GUM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Money (current LCU)","FM.LBL.MONY.CN","37800000","36300000","41700000","43300000","47300000","45200000","46700000","49425000","54914000","58936000","58931000","67025000","80518000","89863000","123204000","193507000","202027000","269931000","283438000","270809000","302666000","329548000","414492000","487501000","587153000","707601000","845859000","1284389000","1992023000","2670693000","4129162000","6837911000","8992075000","11381936000","13108197000","15303227000","17524145011","19274361922","18973223656","23343662016","25781156159","29452465869","32063244558","37593630318","42641875370","45675977539","58514430713","67527289849","75525400374.99","79638586762","97300155120.46","113587230902.3","132054999093.28","136421620004.28","",
"High income","HIC","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99696669334.6322","124552214800.352","150595004902.893","150697612560.802","151186046261.916","174376266881.231","167781776621.551","159990638251.337","184615238380.45","184560979162.01","210884198134.067","240373894245.694","324058683698.057","372379097938.106","315701543029.866","347167774018.937","399760280412.516","435297749067.399","585211036783.732","638917943248.717","692307840271.452","792080345591.758","858391636170.134","",
"Honduras","HND","Money (current LCU)","FM.LBL.MONY.CN","64300000","65700000","72700000","79100000","89800000","104600000","106900000","121500000","134000000","155000000","166000000","175500000","199700000","247800000","249600000","274100000","376600000","425400000","497100000","557800000","619800000","643400000","730800000","829300000","851400000","829800000","891400000","1131200000","1275200000","1522300000","1875300000","2077000000","2540500000","2843800000","3866000000","4696600000","6073100000","8455965000","9758704871","11257811117.15","11389145079.84","14857752852.28","17303576932.56","20304737496.14","23700859523.6672","25223297742.6298","30360783561.8946","35491028330.1325","35889036221.2705","37446994096.5709","43107543015.67","47002824512.1678","45528355154.2355","46857440514.6516","",
"Heavily indebted poor countries (HIPC)","HPC","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3133913700","6648772400","8283569700","11419621000","13814300000","13621100000","13858900000","18030200000","23846262971.84","31027608553.09","34109414427.55","35225167004.22","39580581070.68","49403031394.19","59128902942.08","56004597121.3","48183591006.27","53694838997.04","57904787416.95","59765762382.86","87650000000","",
"Haiti","HTI","Money (current LCU)","FM.LBL.MONY.CN","104300000","118000000","122500000","130700000","132500000","133353000","123226000","142249000","159973000","175597000","190614000","214574000","271232000","332786000","342403000","402552000","549619000","629063000","717795000","802526000","945427000","1166474000","1164318000","1174698000","1400060000","1588690000","1789872000","2097870000","1635198000","2633568000","2302500000","2464400000","3150100000","3866400000","5095500000","6703870300","5823907400","6387105500","6465920000","8187120000","9097990000","13543791000","17885610000","23423340000","25290271026.3865","31490291417.3139","31791992632.2782","35058012766.247","40438201120.0267","48733959930.9698","69114642910.7336","73188588215.5502","79712967563.115","86381546166.3385","",
"Hungary","HUN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","187610000000","192220000000","200860000000","239700000000","266450000000","306620000000","301990000000","379869000000","517493000000","611484000000","807725000000","901905000000","973894000000","1011219435013.05","1238554518740.83","1530052705531.14","1792679564496.57","2137874961597.21","2379701836077.24","2740241938340","3248202000000","4027626000000","4169250000000","5188782470000","5833327000000","6348323680000","6161983060000","6121599120000","6634982800000","7342719400000","7297284000000","8895967000000","",
"Indonesia","IDN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","180020000000","241000000000","313000000000","471000000000","669000000000","940000000000","1250000000000","1601000000000","2006000000000","2488000000000","3379000000000","5040220000000","6542750000000","7192700000000","7634800000000","8701200000000","10243900000000","11790600000000","12826800000000","14560900000000","20788400000000","23803400000000","26676300000000","28426000000000","34661000000000","42887000000000","49572000000000","54534000000000","72431000000000","90768000000000","116880000000000","160923094500000","230852614200000","242431459900000","275759448500000","313457390904062","351628488058726","426882099475723","538521889437000","569637477312675","640216745717828","744539007200000","876258371127317","1.02395742142495E+15","1.12944423937833E+15","",
"Isle of Man","IMN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Money (current LCU)","FM.LBL.MONY.CN","27400000000","28420000000","31120000000","35410000000","39050000000","43010000000","46810000000","51030000000","53890000000","60378000000","67649000000","76477000000","86150000000","101040000000","111280000000","122343000000","152774000000","178499000000","157633000000","176857000000","204582000000","232469000000","273712000000","308553000000","365578000000","412414000000","478669000000","543174000000","632754000000","746893000000","853556000000","1046103000000","1120896000000","1330247000000","1695048000000","1883547000000","2148914000000","2419252000000","2703494000000","3161183000000","3495893000000","3845987000000","4324939000000","5025977000000","6067652000000","7212935000000","8597170522000","9889887027973.29","11030217044509.5","12991154730000","15241153000000","16283536612000","17384575453055.6","19109811579704.3","",
"Not classified","INX","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18177000000","20400000000","23472000000","23902000000","53478000000","60697000000","71833000000","85329000000","91439000000","79601000000","101213000000","98467000000","91392000000","93376000000","115166000000","",
"Iran, Islamic Rep.","IRN","Money (current LCU)","FM.LBL.MONY.CN","45150000000","38680000000","50050000000","57490000000","64590000000","74130000000","82430000000","96880000000","105140000000","111930000000","128330000000","154940000000","214330000000","278090000000","381450000000","458240000000","668040000000","822020000000","1078130000000","1688940000000","2258040000000","2636900000000","3293100000000","3922000000000","","","5508800000000","6461900000000","7118000000000","8237700000000","9729300000000","12265700000000","14080900000000","18305400000000","25922600000000","34341600000000","45865000000000","54976900000000","67444400000000","81951600000000","102169800000000","125667000000000","155308800000000","184626600000000","212352700000000","260936000000000","328061200000000","428200500000000","440031400000000","480789600000000","379073400000000","","","","",
"Iraq","IRQ","Money (current LCU)","FM.LBL.MONY.CN","103300000","104500000","113100000","126700000","128200000","144920000","156170000","166080000","178900000","206530000","218510000","228130000","260940000","324850000","464590000","629030000","762490000","","","","","","","","","","","","","","","","","","","","","","","","","","","","13021899726364","12983797539370","17669078000000","23986928000000","31756375000000","40393693000000","54381441000000","66287892000000","67653051000000","78337849000000","",
"Iceland","ISL","Money (current LCU)","FM.LBL.MONY.CN","10770000","13910000","16840000","17130000","21011000","26327000","27387000","26050000","28888000","38112000","46480000","56644000","69016000","95840000","124680000","166600000","207670000","305140000","429730000","629380000","1009710000","1627650000","2075620000","3698040000","5278170000","6722250000","9674470000","12706830000","14817850000","19799847000","24643920000","29555540000","29943780000","31568928000","34953965000","38315311000","41555670000","48351310000","58174020000","70470543000","72268232800","71656442000","87830736000","114782684000","155340188000","174161496000","202713295000","393241335941.639","518117531711.714","539395046489.899","524985696366.646","505957371805.447","467735189242.7","494510678448","",
"Israel","ISR","Money (current LCU)","FM.LBL.MONY.CN","90000","100000","130000","160000","171000","190000","201000","254000","290000","297000","338000","435000","556737","741470","871346","1062740","1348348","1871826","2695959","3547697","6979398","13353876","27930180","67256000","304195000","1051739000","2237813000","3345886000","3722756000","5375572000","7022216000","7987650000","10541040000","13485573000","14522512000","16715636000","20131058000","22400943000","25145415000","30262648000","31030323000","37796000000","38364000000","42838000000","52931000000","61077000000","64964600000","76947865900","95506839110","127510426000","","","","","",
"Italy","ITA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","457262000000","484408000000","512237000000","553526000000","591788000000","633041000000","688451000000","737927000000","763289000000","822389000000","906445000000","900070000000","886450000000","886795000000","916737000000","",
"Jamaica","JAM","Money (current LCU)","FM.LBL.MONY.CN","52200000","47720000","61358000","61622000","66420000","66698000","74767000","83365000","110201000","125491000","137925000","171647000","188717000","231713000","380651000","343091000","348376000","491639000","577399000","636965000","911604000","825431000","1149722000","1383426000","1423006000","1862678000","3907753000","4339075000","6611846000","6712758000","8634395000","15182547000","19004615000","23337454000","26326756000","35196368000","52358064000","60663348000","67649432000","76623981000","51756226000","73770579000","62011968000","62350556000","75488634000","86276310000","101732595000","114591644000","112146554000","120509963000","153850750000","169412968000","159453113000","202043821000","",
"Jordan","JOR","Money (current LCU)","FM.LBL.MONY.CN","26090000","28920000","33470000","36850000","39857000","47269000","56033000","75237000","87977000","96221000","105461000","107997000","115024000","139248000","172005000","224678000","276731000","329012000","370517000","465580000","580704000","701656000","787503000","869417000","878391000","848222000","897097000","979803000","1166757000","1302304000","1425300000","1646594000","1716049000","1719411000","1741619000","1738658000","1532831000","1626122000","1612643000","1766140000","2017399000","2094616000","2273130000","2829880000","3138470000","4022590000","4521847000","4803250000","5524670000","5981960000","6504420000","7228040000","7152080000","8320530000","",
"Japan","JPN","Money (current LCU)","FM.LBL.MONY.CN","3549000000000","4102000000000","6090000000000","7702000000000","8704000000000","10287000000000","11716000000000","13369000000000","15155000000000","18282000000000","24214000000000","30972000000000","38579000000000","45611000000000","51065000000000","56847000000000","63818000000000","68935000000000","77970000000000","80712000000000","79303000000000","86787000000000","91934000000000","91989000000000","98127000000000","101006000000000","111217000000000","116633000000000","126211000000000","129905000000000","135037000000000","142883000000000","147790000000000","157581000000000","164137000000000","190766000000000","208781000000000","249813600000000","261649000000000","290374500000000","300182900000000","311143000000000","379638600000000","450654100000000","469548000000000","494489400000000","495389000000000","496710500000000","490477100000000","497107900000000","513378000000000","541271000000000","560733300000000","591482300000000","",
"Kazakhstan","KAZ","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8198000000","55417000000","115384000000","139452000000","150907873000","118734595000","205929211000","236163392000","270008971000","381975084325.82","479194944000","755420258561.47","942840177486.67","1501498693648.8","1700893559569.77","2217363826112.59","3179915930723.02","3761011818821.22","4689918620640.39","4587711279157.09","4369633253475.84","",
"Kenya","KEN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","1333000000","1410000000","1627000000","1800750000","2226030000","2371000000","2803510000","3449490000","3390310000","3885050000","4858030000","7006140000","7878360000","9177530000","8433750000","9404170000","10634930000","11472670000","13094970000","12922700000","17522000000","18916500000","19159900000","21646600000","27528700000","31666800000","46576800000","59322200000","62406620000","66524500000","76237600000","89487100000","93489100000","109067100000","118672354644.95","148200594501.9","170330911316.85","219514250330.75","253321828871.4","274901414824.65","344958304800.25","444662472906.75","523835356986.398","528381853974.588","680049032677.264","758179131178.429","854432000253.878","967819365699.478","",
"Kyrgyz Republic","KGZ","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2482432000","2893487000","3119250000","3208280000","4202771000","4605809000","5558000000","7677468000","10616220000","13044502000","15188415000","23064732000","32343330000","","","","","","","",
"Cambodia","KHM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203821000000","201679000000","278490000000","328926000000","384761000000","543272000000","531954000000","539639800000","612054686649.33","816966707769.4","946945232380.31","2653625956145.06","2917203481205.93","4024160440086.34","4152217014544.24","4546742800000","5581237300000","6133731600000","6745986307011.33","8897579731550.93","11713936388212.6","",
"Kiribati","KIR","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","10806000","9336000","26424000","25490000","27578000","25224000","29209000","49805000","56059000","78794000","106068000","116421000","69247000","74097000","92450000","86988000","98635561","102213854","99130649","120270095","121568831","129031612","366525559","376811095","437291474","548154833","558899513","696496915","748385218","726381412","684227603","744201257.532127","857221909.759871","1082747933.52895","1201080777.98179","",
"Korea, Rep.","KOR","Money (current LCU)","FM.LBL.MONY.CN","25343000000","35767000000","39363000000","41917000000","48908000000","65617000000","85078000000","123002000000","178862000000","252017000000","307605000000","357976000000","519394000000","730301000000","945710000000","1181750000000","1544040000000","2172570000000","2713810000000","3274540000000","3806990000000","3982410000000","5799320000000","6783390000000","6820710000000","7557850000000","8808880000000","10107320000000","12151670000000","14328040000000","15905200000000","21752300000000","24586400000000","29041300000000","32510600000000","38872800000000","39542100000000","35036100000000","35582500000000","44374500000000","46997000000000","218041535000000","243394283000000","264270662000000","267160052000000","301750656000000","330318784000000","316382724000000","330623681000000","389394451000000","427791636000000","442077505000000","470010577400000","515643396400000","",
"Kosovo","","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Money (current LCU)","FM.LBL.MONY.CN","21500000","26300000","103800000","96500000","89000000","81400000","124500000","134400000","120000000","107600000","99000000","107700000","142000000","172400000","195600000","290300000","393700000","490700000","636400000","669400000","720800000","1286600000","1282400000","1214400000","992600000","1023200000","1025300000","1085300000","1005700000","969500000","","1201200000","1108500000","1114000000","1126000000","1185000000","1242600000","1247500000","1143400000","1371400000","1467700000","1784202900","2165516000","2777430100","3234719000","3813438500","3784852100","4429752200","4900547500","5159222500","6128024600","6858138800","8009925400","9084216500","",
"Latin America & Caribbean (developing only)","LAC","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25127000000","25088000000","28228000000","35144000000","52239000000","61343000000","67177000000","75558000000","79935000000","168982000000","218981000000","344351000000","371840000000","587000000000","836540000000","1207290000000","1558910000000","1998320000000","3064720000000","3715330000000","4790490000000","6349830000000","","","","",
