All figures œmn unless otherwise stated,Narrow Money,,,,,,
,Bank of England Balance Sheet,Nominal GDP,,% of lagged nominal GDP,,,
Documentation,"Total assets, œmn, 1696-1697 - 14th March 1696 and 25th June 1697, 1698-1764 - End-August balance sheet, 1766-1966 - End-February balance sheet,February, 1858-1966, 1966-2014 third Wednesday in February 
",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",,
Source,Bank of England,,,,,,
1832,70.36,425,445,15.82,15.10,,
1833,75.51,420,440,17.77,16.96,,
1834,74.08,446,467,17.65,16.85,,
1835,73.71,471,493,16.54,15.79,,
1836,76.01,502,526,16.15,15.42,,
1837,73.67,482,505,14.68,14.01,,
1838,78.38,512,536,16.26,15.52,,
1839,76.08,539,565,14.87,14.19,,
1840,71.93,505,529,13.34,12.73,,
1841,74.58,481,504,14.76,14.09,,
1842,76.55,463,485,15.90,15.18,,
1843,82.77,461,483,17.89,17.08,,
1844,82.92,503,527,18.00,17.18,,
1845,62.65,532,557,12.46,11.90,,
1846,71.15,569,596,13.37,12.76,,
1847,59.87,591,619,10.53,10.05,,
1848,63.19,569,596,10.69,10.21,,
1849,63.55,579,606,11.17,10.67,,
1850,66.65,530,555,11.52,11.00,,
1851,63.77,556,583,12.04,11.50,,
1852,70.39,562,588,12.65,12.08,,
1853,70.27,628,658,12.51,11.94,,
1854,63.11,665,697,10.05,9.60,,
1855,60.41,684,716,9.08,8.67,,
1856,62.03,714,748,9.07,8.66,,
1857,61.53,710,744,8.62,8.23,,
1858,71.01,691,724,10.00,9.54,,
1859,74.61,731,765,10.80,10.31,,
1860,69.29,743,779,9.48,9.05,,
1861,62.35,784,821,8.39,8.01,,
1862,68.78,797,835,8.78,8.38,,
1863,68.13,839,879,8.55,8.16,,
1864,66.91,875,916,7.97,7.61,,
1865,67.82,907,950,7.75,7.40,,
1866,65.04,938,982,7.17,6.85,,
1867,76.58,928,972,8.17,7.80,,
1868,77.83,928,972,8.38,8.00,,
1869,73.04,948,993,7.87,7.51,,
1870,78.87,1012,1060,8.32,7.94,,
1871,83.06,1094,1146,8.21,7.84,,
1872,87.31,1161,1216,7.98,7.62,,
1873,90.35,1217,1275,7.78,7.43,,
1874,81.97,1210,1267,6.74,6.43,,
1875,77.67,1184,1241,6.42,6.13,,
1876,82.41,1169,1224,6.96,6.64,,
1877,90.81,1156,1211,7.77,7.42,,
1878,86.74,1126,1179,7.50,7.16,,
1879,101.09,1086,1138,8.98,8.57,,
1880,94.07,1158,1213,8.66,8.27,,
1881,94.32,1182,1238,8.14,7.77,,
1882,86.08,1220,1278,7.28,6.95,,
1883,89.01,1222,1280,7.29,6.96,,
