FRED Graph Observations,,
Federal Reserve Economic Data,,
Link: http://research.stlouisfed.org/fred2,,
Help: http://research.stlouisfed.org/fred2/help-faq,,
Economic Research Division,,
Federal Reserve Bank of St. Louis,,
observation_date,INTDSRGBM193N,FPCPITOTLZGGBR
1989-01-01,13.7474,5.237595169335790
1990-01-01,14.6250,6.972683048522010
1991-01-01,11.4167,7.532649253731410
1992-01-01,9.2917,4.261548471047480
1993-01-01,5.7917,2.506500260010280
1994-01-01,5.3542,1.978490259740350
1995-01-01,6.5625,2.656452094318910
1996-01-01,5.8854,2.481100988563820
1997-01-01,6.5625,1.777945905049930
1998-01-01,7.2083,1.588923991823090
1999-01-01,5.3333,1.335406567273450
2000-01-01,5.9792,0.785269428648789
2001-01-01,5.0833,1.235894680279510
2002-01-01,4.0000,1.256192498230590
2003-01-01,3.6875,1.362921544644410
2004-01-01,4.3958,1.344595759351860
2005-01-01,4.6458,2.049668310937380
2006-01-01,4.6458,2.333527793982680
2007-01-01,5.5208,2.321035914976900
2008-01-01,4.6250,3.613498885704790
2009-01-01,0.6250,2.166231371946580
2010-01-01,0.5000,3.285714285714580
2011-01-01,0.5000,4.484239644754990
2012-01-01,0.5000,2.821709747091030
2013-01-01,0.5000,2.554546686543290
